team_depth,depth_player_name,player_id,team_rb_order,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,rb_q1_carry_share_mean,rb_q1_yard_share_mean,same_team_2025_2026,depth_default_room_share,role_confidence,depth_snapshot_utc
ARI,Jeremiyah Love,00-0041027,1,,,,,,,,,,,,,False,0.68,0.55,2026-09-06T11:29:30+00:00
ARI,Tyler Allgeier,00-0037263,2,17.0,5.764705882352941,3.0,1.0,11.0,20.0,0.0588235294117647,0.0588235294117647,0.0,1.411764705882353,0.2005225166989872,0.2371556713430806,False,0.25,0.72,2026-09-06T11:29:30+00:00
ARI,Bam Knight,00-0037157,3,10.0,10.1,4.5,1.75,16.75,31.0,0.3,0.3,0.2,2.7,0.5051190476190476,0.4241094886975894,True,0.07,0.9,2026-09-06T11:29:30+00:00
ATL,Bijan Robinson,00-0038542,1,17.0,23.23529411764705,24.0,10.0,34.0,54.0,0.7058823529411765,0.5882352941176471,0.4705882352941176,5.0,0.7714662788192199,0.746653003642065,True,0.68,0.97,2026-09-06T11:29:30+00:00
ATL,Brian Robinson Jr.,00-0037746,2,15.0,5.333333333333333,1.0,0.0,9.0,19.0,0.2,0.0,0.0,1.1333333333333333,0.1682611832611832,0.1474591705084244,False,0.25,0.72,2026-09-06T11:29:30+00:00
ATL,Trey Sermon,00-0036984,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
BAL,Derrick Henry,00-0032764,1,17.0,26.11764705882353,15.0,12.0,36.0,79.0,0.5294117647058824,0.4705882352941176,0.3529411764705882,5.294117647058823,0.7156142876731113,0.8182015030134328,True,0.68,0.97,2026-09-06T11:29:30+00:00
BAL,Justice Hill,00-0034975,2,8.0,2.875,0.5,0.0,1.75,17.0,0.125,0.0,0.0,0.875,0.109375,-0.0161210317460317,True,0.25,0.72,2026-09-06T11:29:30+00:00
BAL,Rasheen Ali,00-0039796,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0192307692307692,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
BUF,James Cook III,00-0037248,1,17.0,28.88235294117647,23.0,10.0,42.0,79.0,0.5882352941176471,0.5294117647058824,0.4705882352941176,4.529411764705882,0.6656144509085684,0.6303048620479449,True,0.68,0.97,2026-09-06T11:29:30+00:00
BUF,Ray Davis,00-0039875,2,10.0,7.7,0.0,0.0,3.75,47.0,0.2,0.2,0.2,1.2,0.1037179487179487,0.1148546679719927,True,0.25,0.9,2026-09-06T11:29:30+00:00
BUF,Ty Johnson,00-0035537,3,17.0,4.176470588235294,0.0,0.0,6.0,23.0,0.1176470588235294,0.0588235294117647,0.0,0.6470588235294118,0.0978021978021977,0.1683742820842597,True,0.07,0.97,2026-09-06T11:29:30+00:00
CAR,Chuba Hubbard,00-0036555,1,15.0,8.4,7.0,0.0,15.5,22.0,0.3333333333333333,0.1333333333333333,0.0,2.066666666666667,0.2864163614163614,0.2756509409403091,True,0.68,0.97,2026-09-06T11:29:30+00:00
CAR,Jonathon Brooks,00-0039344,2,,,,,,,,,,,,,False,0.25,0.55,2026-09-06T11:29:30+00:00
CAR,AJ Dillon,00-0036265,3,5.0,7.2,11.0,2.0,11.0,12.0,0.0,0.0,0.0,1.2,0.2857142857142857,0.2101785714285714,False,0.07,0.72,2026-09-06T11:29:30+00:00
CHI,D'Andre Swift,00-0036275,1,16.0,16.8125,17.0,8.0,23.75,43.0,0.5625,0.375,0.25,3.8125,0.6009691697191697,0.7120465042848886,True,0.68,0.97,2026-09-06T11:29:30+00:00
CHI,Kyle Monangai,00-0040236,2,16.0,12.4375,9.5,1.0,13.5,63.0,0.25,0.125,0.125,2.625,0.3126583485958486,0.2208023109903182,True,0.25,0.97,2026-09-06T11:29:30+00:00
CHI,Roschon Johnson,00-0039021,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
CIN,Chase Brown,00-0038597,1,17.0,15.882352941176473,13.0,8.0,25.0,37.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,4.176470588235294,0.6794924030218148,0.6436079149820855,True,0.68,0.97,2026-09-06T11:29:30+00:00
CIN,Samaje Perine,00-0033526,2,13.0,8.538461538461538,6.0,0.0,12.0,34.0,0.1538461538461538,0.1538461538461538,0.0769230769230769,1.7692307692307692,0.279989454989455,0.2934169937229912,True,0.25,0.9,2026-09-06T11:29:30+00:00
CIN,Tahj Brooks,00-0040208,3,6.0,0.8333333333333334,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.037037037037037,0.0177304964539007,True,0.07,0.72,2026-09-06T11:29:30+00:00
CLE,Quinshon Judkins,00-0040784,1,14.0,16.5,16.0,7.25,20.75,48.0,0.5714285714285714,0.2857142857142857,0.2142857142857142,5.071428571428571,0.8006725417439704,0.7434365840353235,True,0.68,0.9,2026-09-06T11:29:30+00:00
CLE,Dylan Sampson,00-0040162,2,15.0,2.2666666666666666,1.0,0.0,3.5,19.0,0.0666666666666666,0.0,0.0,0.8666666666666667,0.1495526695526695,0.0989200523514249,True,0.25,0.97,2026-09-06T11:29:30+00:00
CLE,Raheim Sanders,00-0040466,3,4.0,4.5,1.0,0.0,5.5,16.0,0.25,0.0,0.0,1.5,0.2202380952380952,0.1895604395604395,True,0.07,0.72,2026-09-06T11:29:30+00:00
DAL,Javonte Williams,00-0036997,1,16.0,23.9375,20.5,16.75,30.0,60.0,0.75,0.625,0.375,5.5,0.8224320818070818,0.8153523315175576,True,0.68,0.97,2026-09-06T11:29:30+00:00
DAL,Malik Davis,00-0037563,2,9.0,7.666666666666667,3.0,0.0,11.0,38.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.2222222222222223,0.1228632478632478,0.1675095196371792,True,0.25,0.72,2026-09-06T11:29:30+00:00
DAL,Emari Demercado,00-0038705,3,11.0,1.3636363636363635,0.0,0.0,2.5,8.0,0.0,0.0,0.0,0.5454545454545454,0.0926406926406926,0.1018572976957309,False,0.07,0.72,2026-09-06T11:29:30+00:00
DEN,J.K. Dobbins,00-0036158,1,10.0,12.7,9.5,4.25,20.75,32.0,0.3,0.3,0.2,2.9,0.6032142857142857,0.3953833530211626,True,0.68,0.9,2026-09-06T11:29:30+00:00
DEN,RJ Harvey,00-0040730,2,17.0,9.647058823529411,6.0,2.0,11.0,40.0,0.2352941176470588,0.1764705882352941,0.1176470588235294,2.235294117647059,0.3751454427925016,0.4353046337971902,True,0.25,0.97,2026-09-06T11:29:30+00:00
DEN,Jonah Coleman,00-0041496,3,,,,,,,,,,,,,False,0.07,0.55,2026-09-06T11:29:30+00:00
DET,Jahmyr Gibbs,00-0039139,1,17.0,16.294117647058822,18.0,12.0,21.0,32.0,0.7058823529411765,0.3529411764705882,0.1176470588235294,4.176470588235294,0.637857567269332,0.6715180443899674,True,0.68,0.97,2026-09-06T11:29:30+00:00
DET,Sione Vaki,00-0039364,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.25,0.72,2026-09-06T11:29:30+00:00
DET,Jacob Saylors,00-0038896,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
GB,MarShawn Lloyd,00-0039811,1,,,,,,,,,,,,,False,0.68,0.55,2026-09-06T11:29:30+00:00
GB,Chris Brooks,00-0038685,2,7.0,4.0,1.0,0.0,7.5,12.0,0.0,0.0,0.0,0.7142857142857143,0.1028257456828885,0.2346450158107839,True,0.25,0.72,2026-09-06T11:29:30+00:00
GB,Kaleb Johnson,00-0040142,3,10.0,2.0,0.5,0.0,2.75,9.0,0.0,0.0,0.0,0.6,0.1077380952380952,0.1281506568144499,False,0.07,0.72,2026-09-06T11:29:30+00:00
HOU,David Montgomery,00-0035685,1,17.0,5.647058823529412,3.0,1.0,9.0,22.0,0.1176470588235294,0.0588235294117647,0.0,1.8235294117647056,0.3025464731347084,0.2659341136504258,False,0.68,0.72,2026-09-06T11:29:30+00:00
HOU,Woody Marks,00-0040583,2,16.0,10.0,7.5,1.75,15.5,38.0,0.3125,0.125,0.125,2.9375,0.459375,0.434519459946549,True,0.25,0.97,2026-09-06T11:29:30+00:00
HOU,British Brooks,00-0039603,3,3.0,3.0,0.0,0.0,4.5,9.0,0.0,0.0,0.0,1.0,0.1216931216931216,0.1034482758620689,True,0.07,0.72,2026-09-06T11:29:30+00:00
IND,Jonathan Taylor,00-0036223,1,17.0,22.0,22.0,8.0,31.0,62.0,0.5882352941176471,0.5294117647058824,0.4117647058823529,5.0588235294117645,0.7962248535777947,0.7527501698384985,True,0.68,0.97,2026-09-06T11:29:30+00:00
IND,Seth McGowan,00-0041125,2,,,,,,,,,,,,,False,0.25,0.55,2026-09-06T11:29:30+00:00
IND,DJ Giddens,00-0040179,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
JAX,Bhayshul Tuten,00-0040719,1,15.0,5.266666666666667,3.0,0.0,7.5,28.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.2,0.1629365079365079,0.2253888092965596,True,0.68,0.97,2026-09-06T11:29:30+00:00
JAX,Chris Rodriguez Jr.,00-0038611,2,12.0,15.166666666666666,12.5,0.0,25.25,51.0,0.5,0.4166666666666667,0.25,2.4166666666666665,0.3602182539682539,0.401077466175016,False,0.25,0.72,2026-09-06T11:29:30+00:00
JAX,LeQuint Allen Jr.,00-0040238,3,9.0,0.5555555555555556,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2222222222222222,0.074074074074074,0.115079365079365,True,0.07,0.72,2026-09-06T11:29:30+00:00
KC,Kenneth Walker III,00-0038134,1,17.0,15.176470588235292,11.0,8.0,18.0,41.0,0.2941176470588235,0.2352941176470588,0.2352941176470588,3.4705882352941178,0.6194677871148458,0.6268376207137069,False,0.68,0.72,2026-09-06T11:29:30+00:00
KC,Emmett Johnson,00-0041013,2,,,,,,,,,,,,,False,0.25,0.55,2026-09-06T11:29:30+00:00
KC,Brashard Smith,00-0040078,3,11.0,4.181818181818182,0.0,0.0,3.0,35.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.1325757575757575,0.112812510486929,True,0.07,0.9,2026-09-06T11:29:30+00:00
LA,Kyren Williams,00-0037840,1,17.0,22.176470588235293,17.0,13.0,27.0,76.0,0.7058823529411765,0.3529411764705882,0.3529411764705882,4.235294117647059,0.6643270128564246,0.634809031198674,True,0.68,0.97,2026-09-06T11:29:30+00:00
LA,Blake Corum,00-0039738,2,17.0,9.882352941176473,8.0,2.0,11.0,48.0,0.1764705882352941,0.1176470588235294,0.1176470588235294,1.9411764705882355,0.2889212095094448,0.3027252298175604,True,0.25,0.97,2026-09-06T11:29:30+00:00
LA,Ronnie Rivers,00-0037557,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
LAC,Omarion Hampton,00-0040666,1,9.0,9.22222222222222,9.0,3.0,14.0,22.0,0.2222222222222222,0.1111111111111111,0.0,3.4444444444444446,0.6139770723104055,0.4506711090502528,True,0.68,0.72,2026-09-06T11:29:30+00:00
LAC,Keaton Mitchell,00-0038454,2,12.0,4.416666666666667,1.5,0.0,7.0,18.0,0.0833333333333333,0.0,0.0,1.0,0.1049672549672549,0.121915933460074,False,0.25,0.72,2026-09-06T11:29:30+00:00
LAC,Kimani Vidal,00-0039391,3,12.0,12.25,7.0,1.0,17.25,53.0,0.3333333333333333,0.25,0.1666666666666666,3.333333333333333,0.4656625781625781,0.4475606630211893,True,0.07,0.9,2026-09-06T11:29:30+00:00
LV,Ashton Jeanty,00-0040122,1,17.0,14.941176470588236,14.0,6.0,24.0,35.0,0.4705882352941176,0.3529411764705882,0.1764705882352941,4.117647058823529,0.8087768440709617,0.7994639542012633,True,0.68,0.97,2026-09-06T11:29:30+00:00
LV,Mike Washington Jr.,WAS569019,2,,,,,,,,,,,,,False,0.25,0.55,2026-09-06T11:29:30+00:00
LV,Dylan Laube,00-0039407,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07,0.72,2026-09-06T11:29:30+00:00
MIA,De'Von Achane,00-0039040,1,16.0,32.375,26.0,15.75,51.0,67.0,0.75,0.6875,0.6875,3.9375,0.6983382936507937,0.796842022246199,True,0.68,0.97,2026-09-06T11:29:30+00:00
